Gene stable ID,Gene start (bp),Gene end (bp),Gene name
ENSG00000110881,50057548,50083611,ASIC1
ENSG00000135678,68842197,68971570,CPM
ENSG00000135679,68808177,68850686,MDM2
ENSG00000076108,56595596,56636816,BAZ2A
ENSG00000166153,100203669,100267079,DEPDC4
ENSG00000110934,51281038,51324668,BIN2
ENSG00000075089,100199122,100241865,ACTR6
ENSG00000076067,56521820,56596193,RBMS2
ENSG00000139610,51328443,51346679,CELA1
ENSG00000188906,40196744,40369285,LRRK2
ENSG00000111266,12474210,12562383,DUSP16
ENSG00000111269,12611827,12645108,CREBL2
ENSG00000183150,12660890,12696207,GPR19
ENSG00000187950,29412474,29497686,OVCH1
ENSG00000066117,50084972,50100712,SMARCD1
ENSG00000197905,2959330,3040676,TEAD4
ENSG00000111276,12715058,12722369,CDKN1B
ENSG00000139629,51351247,51392867,GALNT6
ENSG00000139433,109850945,109880541,GLTP
ENSG00000050438,51391317,51515763,SLC4A8
ENSG00000213782,12813316,12829981,DDX47
ENSG00000111540,55973913,55996683,AC034102.1
ENSG00000178878,12725917,12829975,APOLD1
ENSG00000139437,109900264,109983841,TCHP
ENSG00000139436,109929802,109996389,GIT2
ENSG00000111669,6867119,6870948,TPI1
ENSG00000111674,6913745,6923698,ENO2
ENSG00000111671,6870935,6889358,SPSB2
ENSG00000139531,55997180,56006641,SUOX
ENSG00000010626,6873569,6914241,LRRC23
ENSG00000136021,100267140,100341724,SCYL2
ENSG00000167588,50103982,50111313,GPD1
ENSG00000178449,50112082,50120457,COX14
ENSG00000139624,50129306,50167533,CERS5
ENSG00000179520,100357079,100422059,SLC17A8
ENSG00000012504,100473708,100564414,NR1H4
ENSG00000174456,110027028,110073634,C12orf76
ENSG00000076513,109999186,110039763,ANKRD13A
ENSG00000110955,56638175,56645984,ATP5F1B
ENSG00000111605,69239569,69274358,CPSF6
ENSG00000123411,56007659,56038435,IKZF4
ENSG00000122970,110124335,110218793,IFT81
ENSG00000197728,56041351,56044697,RPS26
ENSG00000133687,29500840,29784759,TMTC1
ENSG00000110958,56663341,56688408,PTGES3
ENSG00000174437,110280756,110351093,ATP2A2
ENSG00000011105,3077355,3286564,TSPAN9
ENSG00000139354,100573683,100628288,GAS2L3
ENSG00000205592,40393395,40570832,MUC19
ENSG00000090382,69348341,69354234,LYZ
ENSG00000151572,100717526,101128641,ANO4
ENSG00000127337,69359710,69390870,YEATS4
ENSG00000285625,56714612,56741535,AC117378.1
ENSG00000198056,56731580,56752373,PRIM1
ENSG00000256870,101155493,101210407,SLC5A8
ENSG00000135655,62260338,62417431,USP15
ENSG00000196531,56712428,56731628,NACA
ENSG00000111218,3381349,3593973,PRMT8
ENSG00000111404,18080869,18320107,RERGL
ENSG00000139144,18247614,18648416,PIK3C2G
ENSG00000008323,6310436,6328506,PLEKHG6
ENSG00000050405,50175788,50283546,LIMA1
ENSG00000166225,69470349,69579789,FRS2
ENSG00000065361,56076799,56103505,ERBB3
ENSG00000198673,61708259,62279150,TAFA2
ENSG00000025423,56752161,56787790,HSD17B6
ENSG00000130038,3606633,3764819,CRACR2A
ENSG00000257411,56101331,56109289,AC034102.3
ENSG00000170515,56104537,56113910,PA2G4
ENSG00000196876,51590266,51812864,SCN8A
ENSG00000133704,30628988,30695869,IPO8
ENSG00000139132,32399529,32646050,FGD4
ENSG00000120800,101280105,101386618,UTP20
ENSG00000120805,101393116,101407772,ARL1
ENSG00000018236,40692439,41072415,CNTN1
ENSG00000166211,101475421,101486997,SPIC
ENSG00000185958,50326230,50396622,FAM186A
ENSG00000161813,50392383,50480004,LARP4
ENSG00000111229,110434823,110450422,ARPC3
ENSG00000196510,110372900,110403730,ANAPC7
ENSG00000166226,69585426,69601570,CCT2
ENSG00000111231,110452486,110469268,GPN3
ENSG00000204856,110468415,110490385,FAM216A
ENSG00000111237,110491097,110502117,VPS29
ENSG00000151164,110501655,110532086,RAD9B
ENSG00000284730,51813940,51814926,C12orf81
ENSG00000261308,51817840,51848766,FIGNL2
ENSG00000167612,51888009,51891727,ANKRD33
ENSG00000165966,41188448,41574724,PDZRN4
ENSG00000198812,69608564,69611162,LRRC10
ENSG00000111224,3791047,3873448,PARP11
ENSG00000127325,69643360,69699476,BEST3
ENSG00000110888,30709552,30754951,CAPRIN2
ENSG00000196850,110533245,110583318,PPTC7
ENSG00000111676,6924463,6942321,ATN1
ENSG00000196091,101568353,101686018,MYBPC1
ENSG00000111678,6942978,6946003,C12orf57
ENSG00000122986,110627841,110704950,HVCN1
ENSG00000151233,42081845,42144874,GXYLT1
ENSG00000204852,110614027,110649430,TCTN1
ENSG00000061987,62466817,62600476,MON2
ENSG00000139567,51906908,51923361,ACVRL1
ENSG00000015153,42157104,42238349,YAF2
ENSG00000067182,6328757,6342114,TNFRSF1A
ENSG00000186298,110719680,110742939,PPP1CC
ENSG00000087470,32679200,32745650,DNM1L
ENSG00000135503,51951699,51997078,ACVR1B
ENSG00000267281,53506688,53625979,ATF7-NPFF
ENSG00000139574,53506690,53507638,NPFF
ENSG00000170653,53507856,53626410,ATF7
ENSG00000173093,110846769,110907535,CCDC63
ENSG00000258052,69801669,69855363,AC025263.2
ENSG00000166268,69825304,69959097,MYRFL
ENSG00000078237,4307763,4360028,TIGAR
ENSG00000118972,4368227,4379728,FGF23
ENSG00000285901,4273762,4405490,AC008012.1
ENSG00000118971,4273762,4305353,CCND2
ENSG00000111596,70242994,70354993,AC092881.1
ENSG00000111245,110910819,110921443,MYL2
ENSG00000111186,1529891,1647212,WNT5B
ENSG00000111249,111034165,111350554,CUX2
ENSG00000171823,1565993,1594581,FBXL14
ENSG00000139131,32727490,32755902,YARS2
ENSG00000198324,111360651,111369121,PHETA1
ENSG00000110900,30926428,30996602,TSPAN11
ENSG00000111252,111405948,111451623,SH2B3
ENSG00000139174,42456757,42590355,PRICKLE1
ENSG00000127328,69738681,69823204,RAB3IP
ENSG00000204842,111443485,111599676,ATXN2
ENSG00000229117,56116590,56117967,RPL41
ENSG00000135390,53632726,53677408,ATP5MC2
ENSG00000134283,42238447,42459715,PPHLN1
ENSG00000066084,50504985,50748657,DIP2B
ENSG00000013573,31073860,31104799,DDX11
ENSG00000111110,62643994,62935150,PPM1H
ENSG00000139168,42312086,42326118,ZCRB1
ENSG00000123268,50763710,50821162,ATF1
ENSG00000111319,6346843,6377730,SCNN1A
ENSG00000186452,50842920,50887884,TMPRSS12
ENSG00000135482,56118260,56127514,ZC3H10
ENSG00000185432,50923472,50932510,METTL7A
ENSG00000166148,63142759,63150942,AVPR1A
ENSG00000139641,56118250,56144671,ESYT1
ENSG00000214511,50953922,50970506,HIGD1C
ENSG00000111321,6375045,6391571,AC005840.1
ENSG00000089234,111642146,111685956,BRAP
ENSG00000118600,63779803,63809558,RXYLT1
ENSG00000177990,63558913,63668939,DPY19L2
ENSG00000111275,111766887,111817532,ALDH2
ENSG00000079387,48042897,48106079,SENP1
ENSG00000257767,111753890,111791418,AC002996.1
ENSG00000111271,111686056,111757107,ACAD10
ENSG00000057294,32790745,32896840,PKP2
ENSG00000152556,48105139,48146404,PFKM
ENSG00000092841,56158161,56163496,MYL6
ENSG00000196465,56152256,56159647,MYL6B
ENSG00000089022,111842228,111902222,MAPKAPK5
ENSG00000139613,56162359,56189567,SMARCC2
ENSG00000161835,52006946,52015889,GRASP
ENSG00000110975,33374238,33439819,SYT10
ENSG00000139133,34022468,34029694,ALG10
ENSG00000198270,111931282,112013185,TMEM116
ENSG00000123358,52022832,52059507,NR4A1
ENSG00000089248,112013348,112023449,ERP29
ENSG00000284791,52079696,52108239,SMIM41
ENSG00000123395,52069246,52077494,ATG101
ENSG00000167767,52168996,52192014,KRT80
ENSG00000170442,52249300,52309163,KRT86
ENSG00000012822,53708517,53727745,CALCOCO1
ENSG00000205426,52285913,52291534,KRT81
ENSG00000135480,52232520,52252186,KRT7
ENSG00000196946,8157034,8188537,ZNF705A
ENSG00000135643,70366290,70434292,KCNMB4
ENSG00000284393,8138140,8175320,AC092111.3
ENSG00000089818,8076939,8097881,NECAP1
ENSG00000110911,50979401,51028566,SLC11A2
ENSG00000111300,112026689,112108796,NAA25
ENSG00000111679,6946468,6961316,PTPN6
ENSG00000127329,70515866,70637440,PTPRB
ENSG00000196935,63844700,64162217,SRGAP1
ENSG00000135148,112125538,112153604,TRAFD1
ENSG00000111729,8123632,8138607,CLEC4A
ENSG00000170523,52314301,52321398,KRT83
ENSG00000135443,52360006,52367481,KRT85
ENSG00000174206,64186316,64222296,C12orf66
ENSG00000139197,7188685,7218574,PEX5
ENSG00000173064,112160188,112382439,HECTD4
ENSG00000010292,6493356,6531955,NCAPD2
ENSG00000111262,4909905,4918256,KCNA1
ENSG00000166111,108907741,109021240,SVOP
ENSG00000135093,109023089,109088023,USP30
ENSG00000167566,49791146,49828750,NCKAP5L
ENSG00000186666,49836043,49843106,BCDIN3D
ENSG00000110841,27523431,27695564,PPFIBP1
ENSG00000060138,10699089,10723323,YBX3
ENSG00000189046,109088188,109093631,ALKBH2
ENSG00000076248,109097574,109110992,UNG
ENSG00000130037,5043989,5046788,KCNA5
ENSG00000084453,21264600,21419594,SLCO1A2
ENSG00000135472,49866896,49904217,FAIM2
ENSG00000082805,990509,1495933,ERC1
ENSG00000075415,98593591,98606379,SLC25A3
ENSG00000121351,21354959,21379978,IAPP
ENSG00000076555,109116595,109268226,ACACB
ENSG00000166130,98613405,98645113,IKBIP
ENSG00000139445,109277978,109309284,FOXN4
ENSG00000002016,912077,990053,RAD52
ENSG00000121350,21437615,21471250,PYROXD1
ENSG00000121377,10801532,10802627,TAS2R7
ENSG00000121314,10806051,10807293,TAS2R8
ENSG00000004700,21468910,21501669,RECQL
ENSG00000185652,5432108,5521536,NTF3
ENSG00000047617,5531869,5946232,ANO2
ENSG00000175336,56360568,56362857,APOF
ENSG00000151491,15620134,15882329,EPS8
ENSG00000174527,109347903,109455523,MYO1H
ENSG00000139146,31280584,31327058,SINHCAF
ENSG00000110906,109448655,109477359,KCTD10
ENSG00000167580,49950741,49958881,AQP2
ENSG00000174236,27696519,27697596,REP15
ENSG00000061794,27710822,27756295,MRPS35
ENSG00000161798,49961872,49965682,AQP5
ENSG00000139180,4649095,4694317,NDUFA9
ENSG00000188596,96489571,96875555,CFAP54
ENSG00000205809,10426854,10442300,KLRC2
ENSG00000134545,10442264,10454685,KLRC1
ENSG00000255641,10412312,10436001,AC068775.1
ENSG00000205810,10412312,10420595,KLRC3
ENSG00000110944,56334174,56340410,IL23A
ENSG00000136003,108562582,108569384,ISCU
ENSG00000060237,752579,911452,WNK1
ENSG00000139350,96907223,96953777,NEDD1
ENSG00000183160,108589851,108598320,TMEM119
ENSG00000110876,108622277,108633959,SELPLG
ENSG00000165935,27466810,27502185,SMCO2
ENSG00000180574,10505602,10523135,EIF2S3B
ENSG00000111196,10604193,10613609,MAGOHB
ENSG00000111700,20810702,20916911,SLCO1B3
ENSG00000110880,108645109,108731596,CORO1C
ENSG00000257046,20815674,21090245,AC011604.2
ENSG00000205754,20962768,21092745,SLCO1B7
ENSG00000257062,21047179,21176895,AC022335.1
ENSG00000060140,10618923,10674318,STYK1
ENSG00000170581,56341597,56360167,STAT2
ENSG00000134538,21131202,21239246,SLCO1B1
ENSG00000084112,108778191,108857590,SSH1
ENSG00000120802,98515512,98550379,TMPO
ENSG00000110887,108858932,108901043,DAO
ENSG00000198855,108515277,108525837,FICD
ENSG00000120645,66765,178460,IQSEC3
ENSG00000173391,10158301,10172138,OLR1
ENSG00000165685,10170542,10191801,TMEM52B
ENSG00000134531,13196723,13219941,EMP1
ENSG00000111203,2812622,2859791,ITFG2
ENSG00000273079,13437942,13981957,GRIN2B
ENSG00000078246,2877223,2941138,TULP3
ENSG00000283297,2849039,2857083,TEX52
ENSG00000171792,2876258,2889524,RHNO1
ENSG00000111206,2857681,2877155,FOXM1
ENSG00000053702,2825348,2835544,NRIP2
ENSG00000111241,4428155,4445614,FGF6
ENSG00000123352,49366584,49527424,SPATS2
ENSG00000139112,10212458,10223128,GABARAPL1
ENSG00000205352,53441678,53446645,PRR13
ENSG00000139625,53479669,53500063,MAP3K12
ENSG00000197111,53452102,53481162,PCBP2
ENSG00000047621,4487735,4538508,C12orf4
ENSG00000134539,10226058,10329608,KLRD1
ENSG00000135519,49539030,49558337,KCNH3
ENSG00000187778,49556544,49568145,MCRS1
ENSG00000255819,10372353,10410146,KLRC4-KLRK1
ENSG00000135469,56266858,56270966,COQ10A
ENSG00000183542,10407382,10409757,KLRC4
ENSG00000213809,10372353,10391874,KLRK1
ENSG00000171681,14365632,14502935,ATF7IP
ENSG00000010379,220621,262873,SLC6A13
ENSG00000070019,14612632,14696599,GUCY2C
ENSG00000121316,14503661,14567883,PLBD1
ENSG00000073614,280129,389454,KDM5A
ENSG00000120647,389273,442642,CCDC77
ENSG00000197837,14767999,14771131,HIST4H4
ENSG00000246705,14774383,14778002,H2AFJ
ENSG00000064102,26905181,26938326,INTS13
ENSG00000111790,26938470,26966650,FGFR1OP2
ENSG00000139546,53500921,53506431,TARBP2
ENSG00000084463,14784582,14803486,WBP11
ENSG00000139644,49707725,49764934,TMBIM6
ENSG00000139151,18683169,18738100,PLCZ1
ENSG00000064115,26971579,27014434,TM7SF3
ENSG00000161791,49636499,49708165,FMNL3
ENSG00000135436,49582885,49605639,FAM186B
ENSG00000062485,56271699,56300391,CS
ENSG00000111339,14825569,14843526,ART4
ENSG00000111341,14881181,14885926,MGP
ENSG00000110844,49568218,49644666,PRPF40B
ENSG00000177938,18738101,18739187,CAPZA3
ENSG00000179256,14804650,14814182,SMCO3
ENSG00000182993,14803572,14906586,C12orf60
ENSG00000152944,27022546,27066343,MED21
ENSG00000214700,27081058,27082514,C12orf71
ENSG00000139055,14914039,14938537,ERP27
ENSG00000136026,106237881,106304279,CKAP4
ENSG00000166046,106301929,106347003,TCP11L2
ENSG00000135473,56316223,56334053,PAN2
ENSG00000111247,4538798,4560048,RAD51AP1
ENSG00000144785,56285916,56316059,AC073896.1
ENSG00000257727,56309842,56316119,CNPY2
ENSG00000111785,106774621,106889316,RIC8B
ENSG00000111348,14942031,14961728,ARHGDIB
ENSG00000211455,27243968,27325959,STK38L
ENSG00000111783,106582907,106762803,RFX4
ENSG00000052126,19129752,19376400,PLEKHA5
ENSG00000013503,106357748,106510198,POLR3B
ENSG00000139053,14973042,14981865,AC020613.1
ENSG00000151490,15322508,15598331,PTPRO
ENSG00000151135,106955719,106978778,TMEM263
ENSG00000120832,106977277,106987160,MTERF2
ENSG00000139044,460364,563509,B4GALNT3
ENSG00000008405,106991364,107093549,CRY1
ENSG00000134533,15107783,15348675,RERG
ENSG00000139154,19404045,19720801,AEBP2
ENSG00000029153,27332854,27425289,ARNTL2
ENSG00000151136,107318421,107659642,BTBD11
ENSG00000136045,107685799,107713162,PWP1
ENSG00000110851,107732871,107761272,PRDM4
ENSG00000172572,20369245,20684381,PDE3A
ENSG00000187855,107774385,107776644,ASCL4
ENSG00000075035,108129288,108250537,WSCD2
ENSG00000059758,96278261,96400480,CDK17
ENSG00000171840,564296,663779,NINJ2
ENSG00000174600,108288044,108339317,CMKLR1
ENSG00000075856,108522214,108561400,SART3
ENSG00000111254,4615508,4649051,AKAP3
ENSG00000272921,4604944,4662643,AC005832.4
ENSG00000255639,4649101,4774184,AC005833.1
ENSG00000151079,4809176,4813412,KCNA6
ENSG00000130035,4720341,4851927,GALNT8
ENSG00000139155,20695355,20753386,SLCO1C1
ENSG00000010219,4562204,4615302,DYRK4
ENSG00000013588,12890782,12917937,GPRC5A
ENSG00000013583,12974870,13000265,HEBP1
ENSG00000111291,12940775,12952147,GPRC5D
ENSG00000197992,10030678,10066031,CLEC9A
ENSG00000150048,10069554,10111627,CLEC1A
ENSG00000172243,10116777,10130258,CLEC7A
ENSG00000111181,190077,214570,SLC6A12
ENSG00000084444,13044381,13142521,FAM234B
ENSG00000111305,13083532,13103683,GSG1
ENSG00000006831,1688574,1788674,ADIPOR2
ENSG00000151062,1791963,1918666,CACNA2D4
ENSG00000166159,1820267,1836753,LRTM2
ENSG00000151065,1946053,2004535,DCP1B
ENSG00000004478,2794970,2805423,FKBP4
ENSG00000151067,1970786,2697950,CACNA1C
ENSG00000172915,34942287,35673022,NBEA
ENSG00000180660,35474182,35477209,MAB21L1
ENSG00000032742,20567069,20691437,IFT88
ENSG00000150456,20728731,20773958,EEF1AKMT1
ENSG00000172458,20702127,20723098,IL17D
ENSG00000178695,76880166,76886390,KCTD12
ENSG00000102794,76948497,76958642,ACOD1
ENSG00000132953,20777329,20903048,XPO4
ENSG00000133083,35768652,36131306,DCLK1
ENSG00000120669,36168217,36214588,SOHLH2
ENSG00000250709,36168794,36297842,CCDC169-SOHLH2
ENSG00000242715,36222008,36297840,CCDC169
ENSG00000150457,20973036,21061586,LATS2
ENSG00000133104,36301638,36370180,SPART
ENSG00000118939,75549480,75606020,UCHL3
ENSG00000120694,31134974,31162388,HSPH1
ENSG00000204899,72708367,72727629,MZT1
ENSG00000083535,72782133,73016461,PIBF1
ENSG00000083520,72752169,72782096,DIS3
ENSG00000244754,32432417,32538885,N4BP2L2
ENSG00000136122,72727749,72756198,BORA
ENSG00000139597,32400723,32428311,N4BP2L1
ENSG00000134900,102596986,102679958,TPP2
ENSG00000130177,114234887,114272723,CDC16
ENSG00000253710,52012398,52033600,ALG11
ENSG00000253797,52024691,52033600,UTP14C
ENSG00000198033,19173772,19181824,TUBA3C
ENSG00000132958,19422877,19536762,TPTE2
ENSG00000169062,114281601,114305817,UPF3A
ENSG00000136098,52132639,52159861,NEK3
ENSG00000197168,52033611,52129092,NEK5
ENSG00000196199,19633659,19673441,MPHOSPH8
ENSG00000083642,32586452,32778019,PDS5B
ENSG00000121390,19674752,19783019,PSPC1
ENSG00000102554,73054976,73077541,KLF5
ENSG00000198824,114314482,114337626,CHAMP1
ENSG00000139780,102685744,102694504,METTL21C
ENSG00000175820,102729369,102759070,CCDC168
ENSG00000133116,33016423,33066143,KL
ENSG00000118922,73686089,73995056,KLF12
ENSG00000151287,102765888,102773811,TEX30
ENSG00000133121,33103137,33350630,STARD13
ENSG00000132950,19823482,19863649,ZMYM5
ENSG00000136111,75283503,75482114,TBC1D4
ENSG00000270181,102799110,102875994,BIVM-ERCC5
ENSG00000134901,102784281,102798976,POGLUT2
ENSG00000134899,102807146,102876001,ERCC5
ENSG00000134897,102799119,102841533,BIVM
ENSG00000121741,19958670,20091829,ZMYM2
ENSG00000188243,75525219,75549439,COMMD6
ENSG00000136100,52412602,52450634,VPS36
ENSG00000133119,33818069,33966558,RFC3
ENSG00000136114,52377167,52416373,THSD1
ENSG00000121743,20138255,20161052,GJA3
ENSG00000165474,20187463,20192938,GJB2
ENSG00000121742,20221962,20232365,GJB6
ENSG00000165475,20403666,20525873,CRYL1
ENSG00000136153,75620434,75859870,LMO7
ENSG00000075673,24680411,24712493,ATP12A
ENSG00000169840,27792643,27794768,GSX1
ENSG00000139515,27920000,27926313,PDX1
ENSG00000165556,27962137,27971139,CDX2
ENSG00000183463,27977714,27988654,URAD
ENSG00000153531,113399610,113453524,ADPRHL1
ENSG00000139656,44143543,44161257,SMIM2
ENSG00000122025,28003274,28100592,FLT3
ENSG00000151778,44373665,44397714,SERP2
ENSG00000102804,44432143,44577147,TSC22D1
ENSG00000152520,28138506,28295335,PAN3
ENSG00000150401,113455819,113490951,DCUN1D2
ENSG00000150403,113491021,113554590,TMCO3
ENSG00000102755,28300346,28495145,FLT1
ENSG00000136141,46553168,46753040,LRCH1
ENSG00000133114,44989529,45037669,GPALPP1
ENSG00000083635,44939249,44989471,NUFIP1
ENSG00000125246,99606669,99897134,CLYBL
ENSG00000132963,28659104,28678959,POMP
ENSG00000139684,46771256,46797161,ESD
ENSG00000139508,28700064,28718970,SLC46A3
ENSG00000198176,113584721,113641473,TFDP1
ENSG00000180332,45192853,45194717,KCTD4
ENSG00000188342,45120510,45284893,GTF2F2
ENSG00000186009,113648804,113658186,ATP4B
ENSG00000185974,113667219,113737736,GRK1
ENSG00000139800,99962964,99971909,ZIC5
ENSG00000132938,28820348,29505947,MTUS2
ENSG00000183087,113820549,113864076,GAS6
ENSG00000184497,113759240,113816995,TMEM255B
ENSG00000102468,46831550,46897076,HTR2A
ENSG00000043355,99981784,99986765,ZIC2
ENSG00000226792,51082119,51200252,C13orf42
ENSG00000150510,51222334,51284241,FAM124A
ENSG00000088387,98793429,99086625,DOCK9
ENSG00000253309,51335773,51364735,SERPINE3
ENSG00000102786,51354077,51454264,INTS6
ENSG00000136159,48037726,48047221,NUDT15
ENSG00000136143,47745736,48037968,SUCLA2
ENSG00000175198,100089015,100530437,PCCA
ENSG00000134864,100530164,100589528,GGACT
ENSG00000139514,29509414,29595688,SLC7A1
ENSG00000136146,48053323,48095131,MED4
ENSG00000122042,29764371,29850684,UBL3
ENSG00000125247,100603927,100675093,TMTC4
ENSG00000285444,51763951,51845159,AL162377.3
ENSG00000102796,51767993,51804162,DHRS12
ENSG00000139668,51584455,51767709,WDFY2
ENSG00000281106,51813347,51845177,TMEM272
ENSG00000136156,48232612,48270357,ITM2B
ENSG00000102781,30202630,30307551,KATNAL1
ENSG00000134882,99200774,99386434,UBAC2
ENSG00000102452,101053776,101416508,NALCN
ENSG00000125245,99254714,99261744,GPR18
ENSG00000169508,99294539,99307399,GPR183
ENSG00000123171,51861981,51866232,CCDC70
ENSG00000187676,31199975,31332276,B3GLCT
ENSG00000133105,31739526,31803389,RXFP2
ENSG00000236444,30422488,30428616,UBE2L5
ENSG00000189403,30456704,30617597,HMGB1
ENSG00000150361,69700594,70108493,KLHL1
ENSG00000132952,30617693,30660770,USPL1
ENSG00000132965,30713478,30764426,ALOX5AP
ENSG00000283199,113953705,113974079,C13orf46
ENSG00000175664,30932656,30975500,TEX26
ENSG00000102802,30906271,30925572,MEDAG
ENSG00000123191,51930436,52012125,ATP7B
ENSG00000198542,101452593,101720856,ITGBL1
ENSG00000276644,71437966,71867204,DACH1
ENSG00000102466,101710804,102402457,FGF14
ENSG00000073910,31846713,32299122,FRY
ENSG00000185989,113977783,114132623,RASA3
ENSG00000283361,114154691,114223084,CFAP97D2
ENSG00000189167,32303700,32315344,ZAR1L
ENSG00000139618,32315086,32400266,BRCA2
ENSG00000088386,98683801,98752672,SLC15A1
ENSG00000185896,113297239,113323672,LAMP1
ENSG00000139835,113324164,113364148,GRTP1
ENSG00000186184,27620742,27744237,POLR1D
ENSG00000102445,46342000,46438190,RUBCNL
ENSG00000126226,113177539,113208715,PCID2
ENSG00000139842,113208193,113267108,CUL4A
ENSG00000102699,24420931,24512778,PARP4
ENSG00000165487,21492691,21604181,MICU2
ENSG00000174032,45393316,45418455,SLC25A30
ENSG00000133112,45333471,45341370,TPT1
ENSG00000139832,110523066,110561722,RAB20
ENSG00000213995,110615460,110639993,NAXD
ENSG00000102678,21671383,21704498,FGF9
ENSG00000150893,38687077,38887131,FREM2
ENSG00000057593,113105788,113120681,F7
ENSG00000133115,38965925,38991066,STOML3
ENSG00000178235,83877205,83882393,SLITRK1
ENSG00000120685,39009865,39038089,PROSER1
ENSG00000023516,42272152,42323261,AKAP11
ENSG00000126218,113122814,113149529,F10
ENSG00000120659,42562736,42608013,TNFSF11
ENSG00000179813,42781550,42791549,FAM216B
ENSG00000102580,95677139,95794988,DNAJC3
ENSG00000188811,39038306,39050109,NHLRC3
ENSG00000183722,39209116,39603528,LHFPL6
ENSG00000102683,23180952,23325165,SGCG
ENSG00000184564,85792790,85806683,SLITRK6
ENSG00000133106,42886388,42992271,EPSTI1
ENSG00000132975,26755200,26760786,GPR12
ENSG00000102595,95801580,96053482,UGGT2
ENSG00000185352,96090839,96839562,HS6ST3
ENSG00000126231,113158648,113172386,PROZ
ENSG00000065150,97953658,98024297,IPO5
ENSG00000151835,23328826,23433740,SACS
ENSG00000120675,43023203,43114213,DNAJC15
ENSG00000165621,96985719,96994730,OXGR1
ENSG00000120658,43213518,43786908,ENOX1
ENSG00000152484,27066156,27171811,USP12
ENSG00000136152,45464898,45536701,COG3
ENSG00000139793,97221434,97394120,MBNL2
ENSG00000165837,45534522,45615739,ERICH6B
ENSG00000125249,97434169,97469128,RAP2A
ENSG00000127863,23570370,23676104,TNFRSF19
ENSG00000174015,45702320,45714559,SPERT
ENSG00000027001,23730189,23889400,MIPEP
ENSG00000205863,23890525,23902655,C1QTNF9B
ENSG00000179630,43879284,43893932,LACC1
ENSG00000281883,43883800,44028526,AL512506.3
ENSG00000151773,43823909,43879740,CCDC122
ENSG00000215475,45777242,45851753,SIAH3
ENSG00000122026,27251309,27256691,RPL21
ENSG00000123200,45954465,46052759,ZC3H13
ENSG00000080618,46053186,46105033,CPB2
ENSG00000136167,46125920,46211871,LCP1
ENSG00000122035,27270327,27273690,RASL11A
ENSG00000240654,24307166,24322535,C1QTNF9
ENSG00000182957,23979805,24307074,SPATA13
ENSG00000273167,23979700,24321031,AL359736.1
ENSG00000152767,98142562,98455176,FARP1
ENSG00000122034,27424619,27435823,GTF3A
ENSG00000122033,27435643,27450591,MTIF3
ENSG00000139797,98175785,98177265,RNF113B
ENSG00000102572,98445185,98577940,STK24
ENSG00000173988,46211943,46277366,LRRC63
ENSG00000139517,27545913,27620529,LNX2
ENSG00000126217,112894378,113099742,MCF2L
ENSG00000102780,42040036,42256578,DGKH
ENSG00000120686,38349849,38363619,UFM1
ENSG00000134874,95578202,95644703,DZIP1
ENSG00000134873,95433604,95579759,CLDN10
ENSG00000180776,21372573,21459370,ZDHHC20
ENSG00000136158,80335976,80341126,SPRY2
ENSG00000150459,21140514,21149084,SAP18
ENSG00000187498,110148963,110307157,COL4A1
ENSG00000139746,79311824,79406477,RBM26
ENSG00000125257,95019835,95301475,ABCC4
ENSG00000134871,110305812,110513209,COL4A2
ENSG00000133107,37636636,37870425,TRPC4
ENSG00000173141,21176658,21179084,MRPL57
ENSG00000165480,21153595,21176552,SKA3
ENSG00000102763,41566835,41961120,VWA8
ENSG00000102471,79481124,79556075,NDFIP2
ENSG00000133101,36431520,36442870,CCNA1
ENSG00000136161,48488959,48533256,RCBTB2
ENSG00000136108,52455429,52476628,CKAP2
ENSG00000139687,48303726,48599436,RB1
ENSG00000139679,48389567,48444704,LPAR6
ENSG00000153487,110712736,110723339,ING1
ENSG00000134905,110641412,110713603,CARS2
ENSG00000180440,36674020,36697839,SERTM1
ENSG00000139675,52642425,52643796,HNRNPA1L2
ENSG00000133111,36819224,36829104,RFXAP
ENSG00000005810,77044657,77327094,MYCBP2
ENSG00000120693,36844831,36920765,SMAD9
ENSG00000283208,76992078,77129589,AC001226.2
ENSG00000102805,76990660,77019143,CLN5
ENSG00000005812,76992598,77027195,FBXL3
ENSG00000132972,24764169,24879921,RNF17
ENSG00000165416,52652709,52700909,SUGT1
ENSG00000136110,52703264,52739820,CNMD
ENSG00000120697,36949738,37000261,ALG5
ENSG00000120699,36998816,37009614,EXOSC8
ENSG00000151849,24882279,24922889,CENPJ
ENSG00000102710,37009312,37059713,SUPT20H
ENSG00000152207,48653711,48711226,CYSLTR2
ENSG00000136099,52842889,52848641,PCDH8
ENSG00000102837,53028813,53052057,OLFM4
ENSG00000102531,48975912,49209779,FNDC3A
ENSG00000125255,103043998,103066846,SLC10A2
ENSG00000133103,39655627,39791665,COG6
ENSG00000182346,105465867,105491034,DAOA
ENSG00000088448,110878540,110915069,ANKRD10
ENSG00000151846,25095868,25099254,PABPC3
ENSG00000165566,25161684,25172288,AMER2
ENSG00000102606,111114559,111305737,ARHGEF7
ENSG00000150907,40469953,40666641,FOXO1
ENSG00000102539,49220338,49222377,MLNR
ENSG00000139505,25246201,25288009,MTMR6
ENSG00000102543,49247925,49293485,CDADC1
ENSG00000139496,25301556,25349800,NUP58
